Train Epoch: 0 [batch-idx: 0] nll:  1031710.250000,  kl:  3.185547,  marg:  61.347900, S_accuracy:  16.4062%
Train Epoch: 0 [batch-idx: 100] nll:  559410.000000,  kl:  24.699219,  marg:  37.786224, S_accuracy:  18.9202%
Train Epoch: 0 [batch-idx: 200] nll:  232401.656250,  kl:  47.597656,  marg:  29.245064, S_accuracy:  18.7267%
Train Epoch: 0 [batch-idx: 300] nll:  167732.609375,  kl:  51.648438,  marg:  9.087665, S_accuracy:  18.6773%
Train Epoch: 0 [batch-idx: 400] nll:  168609.187500,  kl:  53.988281,  marg:  6.401552, S_accuracy:  18.4909%
Train Epoch: 1 [batch-idx: 0] nll:  164452.859375,  kl:  56.197266,  marg:  5.638889, S_accuracy:  19.5312%
Train Epoch: 1 [batch-idx: 100] nll:  154262.343750,  kl:  61.079102,  marg:  4.808043, S_accuracy:  22.2076%
Train Epoch: 1 [batch-idx: 200] nll:  143285.734375,  kl:  64.974609,  marg:  2.724900, S_accuracy:  23.8573%
Train Epoch: 1 [batch-idx: 300] nll:  141573.578125,  kl:  67.240234,  marg:  1.010183, S_accuracy:  25.5243%
Train Epoch: 1 [batch-idx: 400] nll:  137551.625000,  kl:  69.367188,  marg:  1.785286, S_accuracy:  27.0125%
Train Epoch: 2 [batch-idx: 0] nll:  133217.281250,  kl:  72.951172,  marg:  2.615654, S_accuracy:  33.5938%
Train Epoch: 2 [batch-idx: 100] nll:  116814.023438,  kl:  79.730469,  marg:  0.995622, S_accuracy:  43.8892%
Train Epoch: 2 [batch-idx: 200] nll:  108593.937500,  kl:  87.086914,  marg:  2.539693, S_accuracy:  47.3997%
Train Epoch: 2 [batch-idx: 300] nll:  95311.281250,  kl:  96.519531,  marg:  1.576804, S_accuracy:  49.6782%
Train Epoch: 2 [batch-idx: 400] nll:  73511.812500,  kl:  108.916016,  marg:  1.679826, S_accuracy:  51.6950%
Train Epoch: 3 [batch-idx: 0] nll:  79154.609375,  kl:  117.155273,  marg:  5.925244, S_accuracy:  68.7500%
Train Epoch: 3 [batch-idx: 100] nll:  76667.937500,  kl:  129.595703,  marg:  1.656986, S_accuracy:  70.8385%
Train Epoch: 3 [batch-idx: 200] nll:  61368.812500,  kl:  142.035156,  marg:  3.783147, S_accuracy:  75.0039%
Train Epoch: 3 [batch-idx: 300] nll:  33397.468750,  kl:  156.275391,  marg:  1.695843, S_accuracy:  77.4268%
Train Epoch: 3 [batch-idx: 400] nll:  29652.017578,  kl:  170.733398,  marg:  3.325469, S_accuracy:  80.9149%
Train Epoch: 4 [batch-idx: 0] nll:  14067.918945,  kl:  178.755859,  marg:  2.329013, S_accuracy:  99.2188%
